0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:10 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:10 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:10 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:10 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:10 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:10 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/admin/new_game HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.css HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:11:43 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/admin/new_game HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.css HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:41 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/admin/new_game HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.css HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:15:42 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:16:53 +0530] "GET /GameStoreWebsite/admin/new_game HTTP/1.1" 200 4854
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:16:53 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:16:53 +0530] "GET /GameStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:16:53 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:16:53 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:20:16:53 +0530] "GET /GameStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
