127.0.0.1 - - [22/Aug/2020:10:45:25 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:26 +0530] "GET /GameStoreWebsite/admin/list_category HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:26 +0530] "GET /GameStoreWebsite/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:26 +0530] "GET /GameStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:26 +0530] "GET /GameStoreWebsite/css/style.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "POST /GameStoreWebsite/admin/login HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/user.png HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/order.png HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/review.png HTTP/1.1" 200 9932
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/category.png HTTP/1.1" 200 9787
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/GamestoreAdminLogo.png HTTP/1.1" 200 17004
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/game.png HTTP/1.1" 200 12684
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:33 +0530] "GET /GameStoreWebsite/images/customer.png HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:36 +0530] "GET /GameStoreWebsite/admin/list_users HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:43 +0530] "GET /GameStoreWebsite/ HTTP/1.1" 200 46787
0:0:0:0:0:0:0:1 - - [22/Aug/2020:10:47:43 +0530] "GET /GameStoreWebsite/images/GamestoreLogo.png HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:02:06 +0530] "GET /GameStoreWebsite/ HTTP/1.1" 200 46787
0:0:0:0:0:0:0:1 - - [22/Aug/2020:11:02:18 +0530] "GET /GameStoreWebsite/ HTTP/1.1" 200 46787
