0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:09 +0530] "GET /ayush/Varsity/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:09 +0530] "GET /ayush/Varsity/assets/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/css/theme-color/default-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/slider/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/slick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/jquery.counterup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/jquery.mixitup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/jquery.fancybox.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/slider/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/slider/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/about-us.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/courses/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/courses/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/courses/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/testimonial-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/testimonial-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:27:10 +0530] "GET /ayush/Varsity/assets/img/blog/blog-1.jpg HTTP/1.1" 304 -
